Sex,Year,Age,People
1,1900,0,4619544
1,2000,0,9735380
1,1900,5,4465783
1,2000,5,10552146
1,1900,10,4057669
1,2000,10,10563233
1,1900,15,3774846
1,2000,15,10237419
1,1900,20,3694038
1,2000,20,9731315
1,1900,25,3389280
1,2000,25,9659493
1,1900,30,2918964
1,2000,30,10205879
1,1900,35,2633883
1,2000,35,11475182
1,1900,40,2261070
1,2000,40,11320252
1,1900,45,1868413
1,2000,45,9925006
1,1900,50,1571038
1,2000,50,8507934
1,1900,55,1161908
1,2000,55,6459082
1,1900,60,916571
1,2000,60,5123399
1,1900,65,672663
1,2000,65,4453623
1,1900,70,454747
1,2000,70,3792145
1,1900,75,268211
1,2000,75,2912655
1,1900,80,127435
1,2000,80,1902638
1,1900,85,44008
1,2000,85,970357
1,1900,90,15164
1,2000,90,336303
2,1900,0,4589196
2,2000,0,9310714
2,1900,5,4390483
2,2000,5,10069564
2,1900,10,4001749
2,2000,10,10022524
2,1900,15,3801743
2,2000,15,9692669
2,1900,20,3751061
2,2000,20,9324244
2,1900,25,3236056
2,2000,25,9518507
2,1900,30,2665174
2,2000,30,10119296
2,1900,35,2347737
2,2000,35,11635647
2,1900,40,2004987
2,2000,40,11488578
2,1900,45,1648025
2,2000,45,10261253
2,1900,50,1411981
2,2000,50,8911133
2,1900,55,1064632
2,2000,55,6921268
2,1900,60,887508
2,2000,60,5668961
2,1900,65,640212
2,2000,65,4804784
2,1900,70,440007
2,2000,70,5184855
2,1900,75,265879
2,2000,75,4355644
2,1900,80,132449
2,2000,80,3221898
2,1900,85,48614
2,2000,85,1981156
2,1900,90,20093
2,2000,90,1064581
